         1850643 function calls (1742367 primitive calls) in 1.417 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    1.418    0.014 c:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\main_numba.py:86(step)
        1    0.000    0.000    1.256    1.256 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\dispatcher.py:344(_compile_for_args)
     10/1    0.000    0.000    1.251    1.251 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\dispatcher.py:858(compile)
      3/1    0.000    0.000    1.251    1.251 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\dispatcher.py:79(compile)
      3/1    0.000    0.000    1.251    1.251 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
      3/1    0.000    0.000    1.251    1.251 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
      3/1    0.000    0.000    1.250    1.250 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler.py:713(compile_extra)
  406/277    0.001    0.000    1.053    0.004 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
      4/1    0.000    0.000    1.026    1.026 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler.py:433(compile_extra)
      4/1    0.000    0.000    1.026    1.026 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler.py:500(_compile_bytecode)
      5/1    0.000    0.000    1.026    1.026 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler.py:456(_compile_core)
      5/1    0.000    0.000    1.025    1.025 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler_machinery.py:342(run)
   120/31    0.003    0.000    1.024    0.033 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler_machinery.py:267(_runPass)
   360/93    0.000    0.000    1.020    0.011 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\compiler_machinery.py:271(check)
      5/2    0.000    0.000    0.746    0.373 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\typed_passes.py:437(run_pass)
      5/2    0.000    0.000    0.522    0.261 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:188(lower)
      5/2    0.000    0.000    0.506    0.253 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:224(lower_normal_function)
      5/2    0.000    0.000    0.505    0.252 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:241(lower_function_body)
     29/2    0.001    0.000    0.505    0.252 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\core\lowering.py:266(lower_block)
     3943    0.402    0.000    0.449    0.000 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\llvmlite\binding\ffi.py:195(__call__)
   228/18    0.000    0.000    0.428    0.024 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor_lowering.py:50(lower_inst)
        1    0.000    0.000    0.420    0.420 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor_lowering.py:66(_lower_parfor_parallel)
        1    0.000    0.000    0.420    0.420 C:\Users\natha\OneDrive\Bureau\Juego de la vida de Conway\venv\Lib\site-packages\numba\parfors\parfor_lowering.py:73(_lower_parfor_parallel_std)
